what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.codegen,2.4.0.v200902171115,org.eclipse.emf.codegen,1315065196604
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065197119
opened,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315065197259
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315065197524
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065204707
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065209324
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.selectAll,1315065210931
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315065211477
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.selectAll,1315065226224
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315065227048
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1315065239120
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315065241055
closed,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315065241055
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1315065242647
opened,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315065242913
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315065243349
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065247187
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065249537
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315065288120
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065289731
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.findReplace,1315065289853
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315065291581
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065299383
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315065301866
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065302792
