what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062087315
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062087359
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062088563
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062088625
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062100139
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1315062100186
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315062106508
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062134757
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062137755
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062138826
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062139774
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062140553
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062142068
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062142116
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062143190
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062143234
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062152625
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1315062152669
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315062153702
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062162078
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062163100
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062164343
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062165123
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062165820
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315062167228
