what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1315065085926
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1315065088653
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315065090865
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065093007
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065095647
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065095714
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065097070
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065097118
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1315065097211
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065101444
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1315065114867
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.selectAll,1315065119705
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1315065120272
opened,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1315065120558
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065120805
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065121276
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1315065149289
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065155050
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065159283
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065162594
opened,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315065164974
closed,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315065165091
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065165457
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1315065165463
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315065188102
