what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315050535980
activated,view,org.eclipse.gef,3.4.1.v20080806,org.eclipse.gef.ui.palette_view,1315050550450
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315050556866
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315050557332
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315050558425
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1315050563301
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315050567006
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315050567757
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1315050573422
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315050576716
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315050578903
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315050579587
activated,view,org.eclipse.gef,3.4.1.v20080806,org.eclipse.gef.ui.palette_view,1315050581150
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315050582857
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315050583281
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315050584348
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1315050601421
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315050605078
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315050607190
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315050609661
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1315050612405
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315050615892
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1315050620168
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315050624822
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315050626028
