what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315120332350
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315120332716
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315120332796
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315120344273
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1315120344363
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315120351889
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1315120361673
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1315120364673
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1315120366273
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315120367724
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315120369159
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315120369222
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315120369955
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315120370017
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315120379922
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1315120380002
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315120409013
activated,view,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views.PropertySheet,1315120415713
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315120419763
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315120420973
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315120422363
activated,view,org.eclipse.gef,3.4.1.v20080806,org.eclipse.gef.ui.palette_view,1315120438663
activated,editor,org.eclipse.ve.java.core,1.4.0.v20090826-1446,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,1315120439793
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315120439853
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1315120450023
